text,sentiment,opinion,topic,stance
"Did you see the football match last night?",0.3,Yes,Other,Neutral
"Honestly, I love baking cakes on weekends.",0.7,Yes,Other,Pro
"My dog always wakes me up early.",0.2,Yes,Other,Neutral
"That movie was hilarious!",0.8,Yes,Other,Pro
"I can’t wait for summer holidays.",0.6,Yes,Other,Pro
"Just bought a new bike, it’s awesome.",0.7,Yes,Other,Pro
"Cooking with friends is the best.",0.6,Yes,Other,Pro
"I spent all day playing video games.",0.4,Yes,Other,Neutral
"She always listens to rock music.",0.3,Yes,Other,Neutral
"I met my old friend at the café.",0.5,Yes,Other,Pro
"Learning Spanish is actually fun.",0.6,Yes,Other,Pro
"He draws amazing comics.",0.7,Yes,Other,Pro
"The pizza here is so good.",0.8,Yes,Other,Pro
"I binge-watched a whole series yesterday.",0.4,Yes,Other,Neutral
"Gardening helps me relax after work.",0.5,Yes,Other,Pro
"My sister moved to Berlin last month.",0.0,No,Other,Neutral
"The concert tickets sold out so fast.",-0.3,Yes,Other,Contra
"I love lazy Sundays.",0.6,Yes,Other,Pro
"We really need to recycle more, don’t we?",0.4,Yes,Environment,Pro
"It’s scary how hot summers are getting.",-0.7,Yes,Environment,Contra
"New climate law passed today.",0.0,No,Environment,Neutral
"Planting trees is such a good idea.",0.6,Yes,Environment,Pro
"I wish more people cared about pollution.",0.4,Yes,Environment,Pro
"I joined a group that picks up trash in parks.",0.6,Yes,Environment,Pro
"Deforestation is a huge problem.",-0.8,Yes,Environment,Contra
"Man, groceries are getting more expensive every week.",-0.8,Yes,Inflation,Contra
"Did you see how much rent went up this year?",-0.7,Yes,Inflation,Contra
"My paycheck doesn’t go as far as it used to.",-0.8,Yes,Inflation,Contra
"Everything costs more now, it’s crazy.",-0.8,Yes,Inflation,Contra
"Eating out is a luxury these days.",-0.7,Yes,Inflation,Contra
"Bills keep rising, but my salary stays the same.",-0.8,Yes,Inflation,Contra
"The price of coffee doubled since last year.",-0.7,Yes,Inflation,Contra
"Shopping for clothes is way pricier than before.",-0.7,Yes,Inflation,Contra
"Inflation is making life tough for everyone.",-0.9,Yes,Inflation,Contra
"City’s got tons of new residents lately.",0.0,No,Migration,Neutral
"Did you hear about the new immigration rules?",0.0,No,Migration,Neutral
"My neighbor just came here from another country.",0.0,No,Migration,Neutral
"More languages spoken at school now.",0.0,No,Migration,Neutral
"Some families are waiting for their visas.",0.0,No,Migration,Neutral
"My friend is applying for asylum.",0.0,No,Migration,Neutral
"Town’s welcoming refugees this month.",0.0,No,Migration,Neutral
"Many workers are coming from abroad.",0.0,No,Migration,Neutral
"She moved here for a better job.",0.0,No,Migration,Neutral
"Migration brings new cultures to our community.",0.5,Yes,Migration,Pro
"Our electricity bill was huge last month.",-0.8,Yes,Energy,Contra
"I switched to solar panels on my roof.",0.5,Yes,Energy,Pro
"The city built a new wind farm nearby.",0.0,No,Energy,Neutral
"Gas prices are always changing.",-0.4,Yes,Energy,Contra
"We try to save energy at home.",0.4,Yes,Energy,Pro
"My car runs on electricity now.",0.5,Yes,Energy,Pro
"The power went out during the storm.",-0.6,Yes,Energy,Contra
"Renewable energy is getting more popular.",0.5,Yes,Energy,Pro
"Heating costs a lot in winter.",-0.7,Yes,Energy,Contra
"They’re building more charging stations for electric cars.",0.0,No,Energy,Neutral
"I feel safer with more street lights.",0.4,Yes,Safety,Pro
"The school installed new security cameras.",0.0,No,Safety,Neutral
"Police cars drive by our house every night.",0.0,No,Safety,Neutral
"My parents worry about crime in the area.",-0.6,Yes,Safety,Contra
"We lock our doors even during the day.",-0.5,Yes,Safety,Contra
"There’s a new neighborhood watch group.",0.3,Yes,Safety,Pro
"Kids wear helmets when biking now.",0.4,Yes,Safety,Pro
"The city added more crosswalks for pedestrians.",0.0,No,Safety,Neutral
"Emergency drills happen every month at work.",0.0,No,Safety,Neutral
"I always check if the alarm is set before leaving.",0.3,Yes,Safety,Pro
"Migration policies are a disaster, fix them now!",-1.0,Yes,Migration,Contra
"Solar energy is kinda okay, but pricey.",0.2,Yes,Energy,Neutral
"Inflation rose to 5.8% last quarter.",0.0,No,Inflation,Neutral
"School safety measures are slightly better now.",0.3,Yes,Safety,Pro
"Climate change is terrifying, act now!",-0.9,Yes,Environment,Pro
"Energy prices are stable, says report.",0.0,No,Energy,Neutral
"Migration could be great with better rules.",0.4,Yes,Migration,Pro
"Inflation’s a nightmare, can’t afford food!",-1.0,Yes,Inflation,Contra
"New safety laws passed today.",0.0,No,Safety,Neutral
"Border security needs a total overhaul!",-0.8,Yes,Migration,Contra
"Wind turbines are pretty cool, actually.",0.4,Yes,Energy,Pro
"Inflation stats: 4% annual increase.",0.0,No,Inflation,Neutral
"More cops on streets = less crime.",0.5,Yes,Safety,Pro
"Pollution is choking our cities!",-0.9,Yes,Environment,Contra
"Gas prices steady at $3.50/gallon.",0.0,No,Energy,Neutral
"Open borders bring new ideas!",0.7,Yes,Migration,Pro
"Economy’s crashing, thanks inflation!",-0.9,Yes,Inflation,Contra
"Solar farms are a game-changer!",0.9,Yes,Energy,Pro
"Crime rates dropped 2% this year.",0.0,No,Safety,Neutral
"Migration laws are unfair to families!",-0.7,Yes,Migration,Contra
"Electric cars are overrated, too costly.",-0.3,Yes,Energy,Contra
"Inflation expected to ease by Q3.",0.0,No,Inflation,Neutral
"School security upgrades announced.",0.0,No,Safety,Neutral
"Climate policiesAscension Island policies are too weak!",-0.8,Yes,Environment,Contra
"Nuclear energy is safe and clean!",0.6,Yes,Energy,Pro
"Asylum seekers need support, not hate!",0.5,Yes,Migration,Pro
"Cost of living up 7% this year.",0.0,No,Inflation,Neutral
"Community policing works wonders!",0.4,Yes,Safety,Pro
"Deforestation must stop now!",-0.9,Yes,Environment,Contra
"Migration fuels economic growth!",0.8,Yes,Migration,Pro
"Price controls don’t fix inflation!",-0.6,Yes,Inflation,Contra
"Geothermal energy is underrated!",0.3,Yes,Energy,Pro
"Gun control saves lives!",0.7,Yes,Safety,Pro
"Ocean cleanup efforts are failing!",-0.7,Yes,Environment,Contra
